GIS_ID,DESCRIPTION,ASSET_CLASS,ASSET_TYPE,MODEL_NO,MODEL_DESCR,DIVISION,COMPANY,LOCATION_DESC,CONDITION_RATING,EVALUATION_DATE,EASTING,NORTHING,UploadDate,CoordinateLocation
1753611,Security Bollard - Flinders Street Station,Outdoor Furniture,Bollard,200401-124,Security Bollard - Avon SSF 100,Infrastructure and Assets,City of Melbourne,"Flinders Street Railway Station approximately 11m NE of Victoria Police, Kiosk, Flinders Street Station Concourse, Melbourne, 3000",3.59,2021-04-30,321098.89,5812439.1,2021-08-14,"-37.817934327465714, 144.9674617526069"
1747183,Cigarette Butt Bin - Type A - Asset Mounted,Outdoor Furniture,Litter Bin,200201-039,Cigarette Butt Bin - Type A - Asset Mounted,Waste and Recycling,Other,"Spring Street between Little Bourke Street and Lonsdale Street approximately 9m West of Gillott Reserve/Tianjin Gardens, 210-230 Spring Street, East Melbourne, 3002",,,321510.53,5813360.6,2021-08-14,"-37.80971448326588, 144.97236291608394"
1753624,Security Bollard - Flinders Street Station,Outdoor Furniture,Bollard,200401-124,Security Bollard - Avon SSF 100,Infrastructure and Assets,City of Melbourne,"Flinders Street between Swanston Street and Elizabeth Street approximately 3m North of City Hatters, Lot 901, 211-213 Flinders Street, Melbourne, 3000",3.59,2021-04-30,321073.11,5812469.59,2021-08-14,"-37.81765463556558, 144.96717656389316"
1753626,Security Bollard - Flinders Street Station,Outdoor Furniture,Bollard,200401-124,Security Bollard - Avon SSF 100,Infrastructure and Assets,City of Melbourne,"Flinders Street between Swanston Street and Elizabeth Street approximately 6m NE of Lot 903, 217 Flinders Street, Melbourne, 3000",3.59,2021-04-30,321062.7,5812465.46,2021-08-14,"-37.817689795733735, 144.96705734161446"
1747229,Cigarette Butt Bin - Type A - Asset Mounted,Outdoor Furniture,Litter Bin,200201-039,Cigarette Butt Bin - Type A - Asset Mounted,Waste and Recycling,Other,Alexandra Park,,,322171.02,5811535.05,2021-08-14,"-37.82628712478793, 144.97941341184006"
1755032,Bollard - Cast Iron Bollard - Gardiner Reserve,Outdoor Furniture,Bollard,200401-016,Bollard - Cast Iron Bollard,Parks and City Greening,City of Melbourne,"Gardiner Reserve approximately 25m South of Unit G1, Ground, 108 Haines Street, North Melbourne, 3051",5.0,2019-09-24,318963.77,5814521.1,2021-08-14,"-37.79875998120408, 144.94373873619674"
1755036,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Gardiner Reserve,Outdoor Furniture,Drinking Fountain,200501-014,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Parks and City Greening,City of Melbourne,"Gardiner Reserve approximately 49m SE of Unit G1, Ground, 108 Haines Street, North Melbourne, 3051",4.0,2019-09-24,318988.73,5814506.3,2021-08-14,"-37.79889823757444, 144.94401837483926"
1755039,Litter Bin - Steel 80 L Recycling Bin - Gardiner Reserve,Outdoor Furniture,Litter Bin,200201-019,Litter Bin - Steel 80 L Recycling Bin,Parks and City Greening,City of Melbourne,"Gardiner Reserve approximately 49m SE of 36-58 Macaulay Road, North Melbourne, 3051",5.0,2019-09-24,318921.78,5814483.66,2021-08-14,"-37.79908889398241, 144.94325272955444"
1755480,Bollard - Concrete Filled Bollard - White,Outdoor Furniture,Bollard,200401-030,Bollard - Concrete Filled Bollard - White,Infrastructure and Assets,City of Melbourne,"Import Lane between Bourke Street and Collins Street approximately 6m West of Evolve Real Estate Docklands Pty Ltd, 18 Import Lane, Docklands, 3008",4.59,2021-04-30,319104.89,5812057.38,2021-08-14,"-37.82097960468101, 144.94472538882914"
1753586,Security Bollard - Flinders Street Station,Outdoor Furniture,Bollard,200401-124,Security Bollard - Avon SSF 100,Infrastructure and Assets,City of Melbourne,"Flinders Street Railway Station approximately 16m East of City Hatters, Lot 901, 211-213 Flinders Street, Melbourne, 3000",3.59,2021-04-30,321089.6,5812465.07,2021-08-14,"-37.81769858189295, 144.9673626847962"
1755494,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Bouverie Street between Lincoln Square North and Grattan Street approximately 9m NE of Dept Of Electrical & Electronic Engineering/Dept Of Resource Management & Geography/School Of Population Health, 207-223 Bouverie Street, Carlton, 3053",4.59,2021-04-30,320594.85,5814270.46,2021-08-14,"-37.80133946124597, 144.96219214537547"
1748606,Bollard - Removable Traffic Bollard - Flipper Type 1 - Enterprize Park,Outdoor Furniture,Bollard,200401-053,Bollard - Removable Traffic Bollard - Flipper Type 1,Parks and City Greening,City of Melbourne,"Enterprize Park approximately 51m South of Enterprize Park, 469-503 Flinders Street, Melbourne, 3000",3.0,2019-06-09,320357.03,5812132.52,2021-08-14,"-37.82055011852045, 144.9589621387756"
1755775,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Cardigan Street between Elgin Street and Keppel Street approximately 7m West of 332 Cardigan Street, Carlton, 3053",4.59,2021-04-30,320936.7,5814780.1,2021-08-14,"-37.79681596122412, 144.96619878457318"
1755779,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Swanston Street between Faraday Street and Elgin Street approximately 27m West of 796 Swanston Street, Carlton, 3053",4.59,2021-04-30,320773.35,5814690.55,2021-08-14,"-37.797590546344914, 144.96432238662575"
1755785,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Swanston Street between Grattan Street and Faraday Street approximately 29m West of E Dumpling, 740 Swanston Street, Carlton, 3053",4.59,2021-04-30,320753.49,5814522.9,2021-08-14,"-37.7990967574174, 144.96405548191177"
1755799,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Lygon Street between Pelham Street and Argyle Place North approximately 26m West of Ground, 204 Lygon Street, Carlton, 3053",4.59,2021-04-30,320980.24,5814174.21,2021-08-14,"-37.80228206046545, 144.96654335717975"
1755820,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"O'Connell Street between Victoria Street and Queensberry Street approximately 12m NE of Central Club Hotel, 240-248 Victoria Street, North Melbourne, 3051",4.59,2021-04-30,320258.54,5813754.89,2021-08-14,"-37.80591731228239, 144.95824643372063"
1755830,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Chetwynd Street between Victoria Street and Queensberry Street approximately 3m NW of Peter Jones Special Events, 172-174 Chetwynd Street, North Melbourne, 3051",4.59,2021-04-30,319761.68,5813992.74,2021-08-14,"-37.80367695625196, 144.9526648825583"
1755847,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Pelham Street between Leicester Street and Barry Street approximately 12m North of Telstra Carlton Exchange, 183 Pelham Street, Carlton, 3053",4.59,2021-04-30,320428.47,5814179.48,2021-08-14,"-37.80212626233926, 144.96028084026585"
1751499,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Waste and Recycling,City of Melbourne,"Intersection of Flemington Road and Harcourt Street approximately 9m NW of Avist Cafe, 101 Flemington Road, North Melbourne, 3051",4.18,2021-04-30,319760.54,5814598.31,2021-08-14,"-37.7982220973675, 144.95280255946713"
1753331,Seat - Stainless Steel Seat - Fixed,Outdoor Furniture,Seat,201101-031,Seat - Stainless Steel Seat - Fixed,Infrastructure and Assets,City of Melbourne,"Victoria Green approximately 5m NW of 91 Geographe Street, Docklands, 3008",3.44,2021-04-30,319143.18,5812191.59,2021-08-14,"-37.819778314995524, 144.9451936983497"
1755918,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Village Street between Bourke Street and Collins Street approximately 16m NW of Tribute Boxing, 43 Village Street, Docklands, 3008",4.59,2021-04-30,319572.21,5812164.79,2021-08-14,"-37.8201046301611, 144.95005857662335"
1755921,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Bourke Street between Wurundjeri Way and Harbour Esplanade approximately 8m NE of Sapphire Essence, 759 Bourke Street, Docklands, 3008",4.59,2021-04-30,319369.52,5812305.66,2021-08-14,"-37.8187956671018, 144.94779220422913"
1755927,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Merchant Street between Bourke Street and Collins Street approximately 11m NW of Shop 2, 74 Merchant Street, Docklands, 3008",4.59,2021-04-30,319028.62,5812162.75,2021-08-14,"-37.8200153785348, 144.94388568493483"
1756565,Seat - Straight Seat - Wooden Battens - Type 2 - Kings Domain,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Parks and City Greening,City of Melbourne,"Kings Domain South approximately 65m East of Marquis of Linlithgow Memorial Reserve, St Kilda Road, Melbourne, 3004",3.0,2019-08-26,321569.71,5811459.12,2021-08-14,"-37.826853676615265, 144.97256621601178"
1751646,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Pelham Street between Drummond Street and Lygon Street approximately 7m SW of 66 Pelham Street, Carlton, 3053",4.12,2021-04-30,321029.97,5814121.03,2021-08-14,"-37.80277082726768, 144.96709477053403"
1757694,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Royal Park,Outdoor Furniture,Drinking Fountain,200501-014,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Parks and City Greening,City of Melbourne,Park Street between West Coburg Tramway and Royal Parade,4.0,2019-05-09,319743.83,5816918.05,2021-08-14,"-37.77732383776788, 144.9531895231545"
1758277,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Collins Street between Merchant Street and Bourke Street approximately 7m NW of 893A Collins Street, Docklands, 3008",4.59,2021-04-30,318834.19,5812068.4,2021-08-14,"-37.820826647408374, 144.9416543591225"
1758295,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"The Gauge Site approximately 4m SW of Snap Printing, Shop 5, 68 Merchant Street, Docklands, 3008",4.59,2021-04-30,319045.83,5812120.96,2021-08-14,"-37.82039520847401, 144.9440706561766"
1755912,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Docklands Drive between Waterfront Way and Pearl River Road approximately 11m East of Ground, 424 Docklands Drive, Docklands, 3008",4.59,2021-04-30,318618.54,5812814.16,2021-08-14,"-37.81406650254547, 144.93939248509776"
1758298,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Intersection of Adderley Street and Dryburgh Street approximately 45m NW of 279 Adderley Street, West Melbourne, 3003",4.59,2021-04-30,318896.94,5813557.81,2021-08-14,"-37.807423449959586, 144.9427393470748"
1758300,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Intersection of Adderley Street and Dryburgh Street approximately 38m South of Sassy X, 1-7 Dryburgh Street, West Melbourne, 3003",4.59,2021-04-30,318887.98,5813569.94,2021-08-14,"-37.8073124133439, 144.94264065779856"
1758306,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Spencer Street between Roden Street and Hawke Street approximately 3m NE of McMahons Hotel, McMahon's Hotel, 573-579 Spencer Street, West Melbourne, 3003",4.59,2021-04-30,319283.14,5813579.42,2021-08-14,"-37.80730531923503, 144.94712922996942"
1758533,Floral Crate - unspecified - Coromandel Place (MELBOURNE),Outdoor Furniture,Floral Crate/Planter Box,200601-000,Floral Crate - unspecified,Parks and City Greening,City of Melbourne,"Coromandel Place from Little Collins Street approximately 3m North of 21 Coromandel Place, Melbourne, 3000",4.0,2019-02-09,321231.97,5812981.85,2021-08-14,"-37.813071578276805, 144.9691068218462"
1758534,Floral Crate - unspecified - Coromandel Place (MELBOURNE),Outdoor Furniture,Floral Crate/Planter Box,200601-000,Floral Crate - unspecified,Parks and City Greening,City of Melbourne,"Coromandel Place from Little Collins Street approximately 4m North of 21 Coromandel Place, Melbourne, 3000",4.0,2019-02-09,321231.59,5812982.81,2021-08-14,"-37.813062856651726, 144.96910274431804"
1758550,Floral Crate - unspecified - Katherine Place (MELBOURNE),Outdoor Furniture,Floral Crate/Planter Box,200601-000,Floral Crate - unspecified,Parks and City Greening,City of Melbourne,"The Edition approximately 6m East of Romo Pizza Bar, 21 Katherine Place, Melbourne, 3000",4.0,2019-09-23,320133.41,5812208.14,2021-08-14,"-37.819824932333916, 144.95644172163574"
1758562,Floral Crate - unspecified - Coromandel Place (MELBOURNE),Outdoor Furniture,Floral Crate/Planter Box,200601-000,Floral Crate - unspecified,Parks and City Greening,City of Melbourne,"Coromandel Place from Little Collins Street approximately 1m South of MTS Watch Repairs, 26 Coromandel Place, Melbourne, 3000",4.0,2019-02-09,321234.13,5812990.93,2021-08-14,"-37.81299021306321, 144.96913358762853"
1758625,Floral Crate - unspecified - Bourke Street (MELBOURNE),Outdoor Furniture,Floral Crate/Planter Box,200601-000,Floral Crate - unspecified,Parks and City Greening,City of Melbourne,"Bourke Street between Swanston Street and Elizabeth Street approximately 10m NW of The Body Shop, Shop 7, 271-281 Bourke Street, Melbourne, 3000",4.0,2019-02-09,320895.68,5812903.61,2021-08-14,"-37.81371040735762, 144.96526926364066"
1759009,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Earl Street between Lygon Street and Cardigan Street approximately 4m NE of Royal Melbourne Institute Of Technology, 15-21 Earl Street, Carlton, 3053",4.59,2021-04-30,320865.03,5813755.02,2021-08-14,"-37.80603532380545, 144.96513182374758"
1759473,Litter Bin - Steel 80 L Recycling Bin,Outdoor Furniture,Litter Bin,200201-019,Litter Bin - Steel 80 L Recycling Bin,Waste and Recycling,City of Melbourne,"Riverside Quay between Cook Street and Southgate Avenue approximately 15m East of Riverside Quay Reserve, 8-10 Riverside Quay, Southbank, 3006",3.33,2021-04-30,320822.36,5812062.63,2021-08-14,"-37.8212711272355, 144.96422867937218"
1764807,Seat - Unclassified - Wharfs Landing Park,Outdoor Furniture,Seat,201101-000,Seat - Unclassified,Parks and City Greening,City of Melbourne,"Wharfs Landing approximately 14m SE of 193 River Esplanade, Docklands, 3008",5.0,2019-07-19,318395.79,5811948.86,2021-08-14,"-37.82181625070909, 144.93664638167752"
1753646,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Flinders Street Railway Station approximately 17m East of City Hatters, Lot 901, 211-213 Flinders Street, Melbourne, 3000",4.18,2021-04-30,321090.44,5812462.67,2021-08-14,"-37.81772036453187, 144.96737162966497"
1766833,Bollard - Steel Bollard - Standard,Outdoor Furniture,Bollard,200401-062,Bollard - Steel Bollard - Standard,Infrastructure and Assets,City of Melbourne,"Somerset Place from Little Bourke Street approximately 4m SE of Cartel Roasters Melbourne, Ground, 19 Somerset Place, Melbourne, 3000",4.59,2021-04-30,320653.31,5812889.75,2021-08-14,"-37.81378766563919, 144.96251396394177"
1767748,Litter Bin - Steel 80 L Litter Bin - Powlett Reserve,Outdoor Furniture,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Parks and City Greening,City of Melbourne,"Powlett Reserve approximately 47m SE of The East Melbourne Group Inc, 152 Powlett Street, East Melbourne, 3002",5.0,2019-08-23,322764.33,5813208.9,2021-08-14,"-37.81132519593585, 144.98656083051497"
1767916,Drinking Fountain - Leaf Type - Dog Bowl  - Flagstaff Gardens,Outdoor Furniture,Drinking Fountain,200501-022,Drinking Fountain - Leaf Type - Dog Bowl,Parks and City Greening,City of Melbourne,"Flagstaff Gardens approximately 95m East of St James Old Cathedral, Church, 2-10 Batman Street, West Melbourne, 3003",5.0,2019-04-09,319862.84,5813280.77,2021-08-14,"-37.81010993947886, 144.95363625566395"
1770219,Security Bollard - Parliament House,Outdoor Furniture,Bollard,200401-120,Security Bollard - Westminster Shallow Bollard,,,"Spring Street between Little Collins Street and Bourke Street approximately 46m South of Victorian Parliament, Rear Parliamentary Offices, 160 Spring Street, East Melbourne, 3002",,,321593.49,5813162.83,2021-08-14,"-37.81151211890511, 144.9732560851346"
1770238,Security Bollard - Parliament House,Outdoor Furniture,Bollard,200401-121,Security Bollard - SP30 Fixed,,,"Parliament of Victoria approximately 52m North of Hotel Windsor, 103-111 Spring Street, Melbourne, 3000",,,321609.76,5813132.98,2021-08-14,"-37.81178417324885, 144.97343345816125"
1770288,Security Bollard - Bourke Street Mall,Outdoor Furniture,Bollard,200401-119,Security Bollard - Safetyflex Truckstopper,Infrastructure and Assets,City of Melbourne,"Bourke Street between Swanston Street and Elizabeth Street approximately 17m SW of David Jones, 294-312 Bourke Street, Melbourne, 3000",4.8,2021-04-30,320830.03,5812892.06,2021-08-14,"-37.81380156086339, 144.96452101584228"
1771598,Litter Bin - Stainless Steel 80 L Recycling Bin - Neill Street Reserve,Outdoor Furniture,Litter Bin,200201-013,Litter Bin - Stainless Steel 80 L Recycling Bin,Parks and City Greening,City of Melbourne,"Neill Street Reserve approximately 11m East of Church Of All Nations Community Support, 180 Palmerston Street, Carlton, 3053",4.0,2019-11-19,321192.46,5814879.95,2021-08-14,"-37.79596666145116, 144.96912666126707"
1771605,Litter Bin - Steel 80 L Litter Bin - Reeves Street Park,Outdoor Furniture,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Parks and City Greening,City of Melbourne,"Reeves Street Park approximately 42m NE of 488 Drummond Street, Carlton, 3053",3.0,2019-11-19,321281.51,5815118.33,2021-08-14,"-37.79383687031601, 144.97019626926658"
1771606,Litter Bin - Steel 80 L Recycling Bin - Kings Domain,Outdoor Furniture,Litter Bin,200201-019,Litter Bin - Steel 80 L Recycling Bin,Parks and City Greening,City of Melbourne,Kings Domain,3.0,2019-11-19,321899.82,5811663.76,2021-08-14,"-37.82507487037843, 144.97636533174642"
1757704,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,Outdoor Furniture,Drinking Fountain,200501-021,Drinking Fountain - Leaf Type - With Bottle Refill Tap,Parks and City Greening,City of Melbourne,"Fitzroy Gardens approximately 59m NW of Holy Trinity Anglican Church, 72-80 Clarendon Street, East Melbourne, 3002",4.0,2019-08-30,322428.77,5812940.72,2021-08-14,"-37.81367564418339, 144.98268520584864"
1771628,Seat - Straight Seat - Wooden Battens - Type 2 - Newmarket Reserve,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Parks and City Greening,City of Melbourne,Epsom Road between Smithfield Road and Racecourse Road,3.0,2019-11-19,317052.48,5815633.25,2021-08-14,"-37.78836170707966, 144.92232347243345"
1771679,Bollard - Unknown Type - Princes Park,Outdoor Furniture,Bollard,200401-000,Bollard - Unknown Type,Parks and City Greening,City of Melbourne,"Princes Park approximately 98m East of 481 Royal Parade, Parkville, 3052",3.0,2019-11-19,320398.16,5816436.19,2021-08-14,"-37.78179300170982, 144.9604958154757"
1771702,Drinking Fountain - Leaf Type - Dog Bowl  - JJ Holland Park,Outdoor Furniture,Drinking Fountain,200501-022,Drinking Fountain - Leaf Type - Dog Bowl,Parks and City Greening,City of Melbourne,"J J Holland Park approximately 78m NE of The Bill Vanina Pavilion, The Bill Vanina Pavilion, 1A Childers Street, Kensington, 3031",3.0,2019-11-19,317244.28,5814520.86,2021-08-14,"-37.79841970759794, 144.92421993826414"
1771870,Bollard - Timber Bollard - Fawkner Park,Outdoor Furniture,Bollard,200401-067,Bollard - Timber Bollard,Parks and City Greening,City of Melbourne,"Fawkner Park approximately 84m NW of Amrep As Pty Ltd, Auditorium - Baker Research Institute, Amrep Building, Alfred Hospital, 75 Commercial Road, Melbourne, 3004",4.0,2019-11-27,322499.07,5809439.9,2021-08-14,"-37.84522317431012, 144.98262468259176"
1758321,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Rathdowne Street between Neill Street and Princes Street approximately 23m North of Family Services @ Carlton Baths, 216 Rathdowne Street, Carlton, 3053",4.59,2021-04-30,321380.72,5815147.36,2021-08-14,"-37.79359478502765, 144.97132955540803"
1771970,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Queen Victoria Gardens,Outdoor Furniture,Drinking Fountain,200501-021,Drinking Fountain - Leaf Type - With Bottle Refill Tap,Parks and City Greening,City of Melbourne,Queen Victoria Gardens,5.0,2019-02-12,321334.62,5812028.38,2021-08-14,"-37.82168006484173, 144.9700370336942"
1775787,Seat - Unclassified - Boyd Community Hub,Outdoor Furniture,Seat,201101-000,Seat - Unclassified,Parks and City Greening,City of Melbourne,"Boyd Community Hub approximately 50m SW of 17 Balston Street, Southbank, 3006",5.0,2020-03-23,320573.19,5811558.28,2021-08-14,"-37.82576508075414, 144.96127430125114"
1777883,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Faraday Street between Rathdowne Street and Drummond Street approximately 3m SW of 154 Faraday Street, Carlton, 3053",4.59,2021-04-30,321224.53,5814566.73,2021-08-14,"-37.79879427929303, 144.9694134394254"
1777920,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Exhibition Street between Little Collins Street and Bourke Street approximately 30m SW of Sal's Authentic New York Pizza, 148 Exhibition Street, Melbourne, 3000",4.59,2021-04-30,321361.64,5813050.68,2021-08-14,"-37.812476974543145, 144.97059606509367"
1777921,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Exhibition Street between Little Collins Street and Bourke Street approximately 33m West of Johnston Opals, Ground, 124 Exhibition Street, Melbourne, 3000",4.59,2021-04-30,321371.83,5813026.18,2021-08-14,"-37.812699652736526, 144.97070571816175"
1779957,Security Bollard - Olympic Blvd,Outdoor Furniture,Bollard,200401-119,Security Bollard - Safetyflex Truckstopper,,,"Olympic Park approximately 55m South of Melbourne And Olympic Parks Trust, Gnd & Flr1 National Tennis Centre, Melbourne Park, 55 Olympic Boulevard, Melbourne, 3004",,,322456.25,5811778.78,2021-08-14,"-37.82414725488154, 144.98271228412366"
1779978,Security Bollard - Olympic Blvd,Outdoor Furniture,Bollard,200401-119,Security Bollard - Safetyflex Truckstopper,,,"Olympic Boulevard between Punt Road and Batman Avenue approximately 38m SE of Melbourne And Olympic Parks Trust, Gnd & Flr1 National Tennis Centre, Melbourne Park, 55 Olympic Boulevard, Melbourne, 3004",,,322465.6,5811799.43,2021-08-14,"-37.82396306768707, 144.98282352503662"
1770105,Security Bollard - Princes Bridge,Outdoor Furniture,Bollard,200401-123,Security Bollard - Precast Concrete Barrier Block,Infrastructure and Assets,City of Melbourne,"Princes Bridge between Swanston Street and St Kilda Road approximately 71m South of Yarra River Cruises, Berth 2, Princes Walk, Melbourne, 3000",4.84,2021-04-30,321191.26,5812273.39,2021-08-14,"-37.819445060659156, 144.96846965918633"
1780100,Security Bollard - Olympic Blvd,Outdoor Furniture,Bollard,200401-119,Security Bollard - Safetyflex Truckstopper,,,"Olympic Boulevard between Punt Road and Batman Avenue approximately 40m West of Melbourne And Olympic Parks Trust, Gnd & Flr1 National Tennis Centre, Melbourne Park, 55 Olympic Boulevard, Melbourne, 3004",,,322408.77,5811831.13,2021-08-14,"-37.82366646957948, 144.98218595825264"
1780108,Security Bollard - Olympic Blvd,Outdoor Furniture,Bollard,200401-119,Security Bollard - Safetyflex Truckstopper,,,"Olympic Boulevard between Punt Road and Batman Avenue approximately 20m West of Melbourne And Olympic Parks Trust, Gnd & Flr1 National Tennis Centre, Melbourne Park, 55 Olympic Boulevard, Melbourne, 3004",,,322429.79,5811825.45,2021-08-14,"-37.82372172310247, 144.98242326065306"
1780109,Security Bollard - Olympic Blvd,Outdoor Furniture,Bollard,200401-119,Security Bollard - Safetyflex Truckstopper,,,"Olympic Boulevard between Punt Road and Batman Avenue approximately 21m SW of Melbourne And Olympic Parks Trust, Gnd & Flr1 National Tennis Centre, Melbourne Park, 55 Olympic Boulevard, Melbourne, 3004",,,322429.61,5811824.15,2021-08-14,"-37.8237333979153, 144.982420897722"
1780119,Security Bollard - Olympic Blvd,Outdoor Furniture,Bollard,200401-119,Security Bollard - Safetyflex Truckstopper,,,"Olympic Boulevard between Punt Road and Batman Avenue approximately 9m SW of Melbourne And Olympic Parks Trust, Gnd & Flr1 National Tennis Centre, Melbourne Park, 55 Olympic Boulevard, Melbourne, 3004",,,322441.15,5811827.68,2021-08-14,"-37.82370384670372, 144.98255280798588"
1780122,Security Bollard - Olympic Blvd,Outdoor Furniture,Bollard,200401-119,Security Bollard - Safetyflex Truckstopper,,,"Melbourne Park approximately 6m West of Melbourne And Olympic Parks Trust, Gnd & Flr1 National Tennis Centre, Melbourne Park, 55 Olympic Boulevard, Melbourne, 3004",,,322442.72,5811831.18,2021-08-14,"-37.82367262569692, 144.9825714949149"
1780164,Security Bollard - Olympic Blvd,Outdoor Furniture,Bollard,200401-126,Security Bollard - Precast Concrete Barrier Block - I-Shape,,,"Olympic Boulevard between Punt Road and Batman Avenue approximately 51m West of Melbourne And Olympic Parks Trust, Gnd & Flr1 National Tennis Centre, Melbourne Park, 55 Olympic Boulevard, Melbourne, 3004",,,322397.56,5811832.69,2021-08-14,"-37.82365023608998, 144.98205904417972"
